theta,theta,meta,meta,meta,meta
clubb_gamma_coef,micro_mg_dcs,start_date,stop_n,stop_option,real_time
0.32917,0.000517,0031-01-01,2,nyears,03:00:00
0.27894,0.00031,0031-01-01,2,nyears,03:00:00
0.29663,0.000347,0031-01-01,2,nyears,03:00:00
0.27104,0.000277,0031-01-01,2,nyears,03:00:00
0.29237,0.000588,0031-01-01,2,nyears,03:00:00
0.2818,0.000449,0031-01-01,2,nyears,03:00:00
0.30702,0.000463,0031-01-01,2,nyears,03:00:00
0.34786,0.000679,0031-01-01,2,nyears,03:00:00
0.28595,0.000462,0031-01-01,2,nyears,03:00:00
0.30232,0.000256,0031-01-01,2,nyears,03:00:00
0.28154,0.000418,0031-01-01,2,nyears,03:00:00
0.27828,0.000272,0031-01-01,2,nyears,03:00:00
0.26183,0.000584,0031-01-01,2,nyears,03:00:00
0.25641,0.000615,0031-01-01,2,nyears,03:00:00
0.31531,0.000352,0031-01-01,2,nyears,03:00:00
0.3068,0.000755,0031-01-01,2,nyears,03:00:00
0.29615,0.000668,0031-01-01,2,nyears,03:00:00
0.32782,0.000722,0031-01-01,2,nyears,03:00:00
0.27089,0.000297,0031-01-01,2,nyears,03:00:00
0.26318,0.00063,0031-01-01,2,nyears,03:00:00
